股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sh600002,齐鲁石化,1998/10/5,4.8,4.83,4.68,4.7,4.77,1745756,8255176,1480500000,9165000000
sh600002,齐鲁石化,1998/10/6,4.73,4.75,4.6,4.6,4.7,2339369,10937395,1449000000,8970000000
sh600002,齐鲁石化,1998/10/7,4.6,4.63,4.56,4.57,4.6,1241500,5692856,1439550000,8911500000
sh600002,齐鲁石化,1998/10/8,4.56,4.62,4.56,4.59,4.57,1245480,5712164,1606500000,8950500000
sh600002,齐鲁石化,1998/10/9,4.6,4.6,4.51,4.55,4.59,2033715,9241830,1592500000,8872500000
sh600002,齐鲁石化,1998/10/12,4.54,4.57,4.46,4.55,4.55,1670530,7520229,1592500000,8872500000
sh600002,齐鲁石化,1998/10/13,4.56,4.6,4.48,4.48,4.55,1315268,5936809,1568000000,8736000000
sh600002,齐鲁石化,1998/10/14,4.47,4.54,4.42,4.48,4.48,1294348,5800502,1568000000,8736000000
sh600002,齐鲁石化,1998/10/15,4.48,4.52,4.45,4.48,4.48,1188450,5324470,1568000000,8736000000
sh600002,齐鲁石化,1998/10/16,4.5,4.55,4.48,4.51,4.48,1546727,6970489,1578500000,8794500000
sh600002,齐鲁石化,1998/10/19,4.5,4.59,4.5,4.59,4.51,1422351,6460845,1606500000,8950500000
sh600002,齐鲁石化,1998/10/20,4.58,4.62,4.53,4.53,4.59,1073900,4905462,1585500000,8833500000
sh600002,齐鲁石化,1998/10/21,4.53,4.53,4.4,4.41,4.53,2170150,9632467,1543500000,8599500000
sh600002,齐鲁石化,1998/10/22,4.35,4.45,4.34,4.38,4.41,1498220,6546414,1533000000,8541000000
sh600002,齐鲁石化,1998/10/23,4.4,4.6,4.37,4.42,4.38,1769850,7949190,1547000000,8619000000
sh600002,齐鲁石化,1998/10/26,4.4,4.53,4.35,4.41,4.42,1283700,5685328,1543500000,8599500000
sh600002,齐鲁石化,1998/10/27,4.42,4.47,4.39,4.4,4.41,817700,3614043,1540000000,8580000000
sh600002,齐鲁石化,1998/10/28,4.43,4.48,4.39,4.43,4.4,1548348,6852945,1550500000,8638500000
sh600002,齐鲁石化,1998/10/29,4.46,4.46,4.36,4.37,4.43,1563407,6844793,1529500000,8521500000
sh600002,齐鲁石化,1998/10/30,4.37,4.42,4.36,4.37,4.37,1208347,5282603,1529500000,8521500000
sh600002,齐鲁石化,1998/11/2,4.37,4.4,4.3,4.4,4.37,1537374,6650678,1540000000,8580000000
sh600002,齐鲁石化,1998/11/3,4.4,4.4,4.34,4.4,4.4,867507,3790742,1540000000,8580000000
sh600002,齐鲁石化,1998/11/4,4.39,4.42,4.33,4.42,4.4,1029350,4481574,1547000000,8619000000
