code,tradeStatus,code_name,date,codenumber
sh.000111,1,380信息,2023-09-21,000111
sh.000112,1,380电信,2023-09-21,000112
sh.000113,1,380公用,2023-09-21,000113
sh.000114,1,持续产业,2023-09-21,000114
sh.000115,1,380等权,2023-09-21,000115
sh.000116,1,上证信用债100指数,2023-09-21,000116
sh.000117,1,380成长,2023-09-21,000117
sh.000118,1,380价值,2023-09-21,000118
sh.000119,1,380R成长,2023-09-21,000119
sh.000120,1,380R价值,2023-09-21,000120
sh.000121,1,医药主题,2023-09-21,000121
sh.000122,1,上证农业主题指数,2023-09-21,000122
sh.000123,1,上证180动态指数,2023-09-21,000123
sh.000125,1,上证180稳定指数,2023-09-21,000125
sh.000126,1,消费50,2023-09-21,000126
sh.000128,1,380基本,2023-09-21,000128
sh.000129,1,180波动,2023-09-21,000129
sh.000130,1,380波动,2023-09-21,000130
sh.000131,1,上证高新,2023-09-21,000131
sh.000132,1,上证100,2023-09-21,000132
sh.000133,1,上证150,2023-09-21,000133
sh.000134,1,上证银行股指数,2023-09-21,000134
sh.000135,1,上证180高贝塔指数,2023-09-21,000135
sh.000136,1,上证180低贝塔指数,2023-09-21,000136
sh.000137,1,上证380高贝塔指数,2023-09-21,000137
sh.000138,1,上证380低贝塔指数,2023-09-21,000138
sh.000139,1,上证可转换债券指数,2023-09-21,000139
sh.000141,1,上证380动态指数,2023-09-21,000141
sh.000142,1,上证380稳定指数,2023-09-21,000142
sh.000145,1,上证优势资源产业指数,2023-09-21,000145
sh.000146,1,上证优势制造产业指数,2023-09-21,000146
sh.000147,1,上证优势消费产业指数,2023-09-21,000147
sh.000148,1,上证消费服务领先指数,2023-09-21,000148
sh.000149,1,上证180红利指数,2023-09-21,000149
sh.000150,1,上证380红利指数,2023-09-21,000150
sh.000151,1,上证国有企业红利指数,2023-09-21,000151
sh.000152,1,上证中央企业红利指数,2023-09-21,000152
sh.000153,1,上证民营企业红利指数,2023-09-21,000153
sh.000155,1,上证市值百强指数,2023-09-21,000155
sh.000158,1,上证环保产业指数,2023-09-21,000158
sh.000159,1,上证沪股通指数,2023-09-21,000159
sh.000160,1,上证一带一路主题指数,2023-09-21,000160
sh.000161,1,上证中国制造主题指数,2023-09-21,000161
sh.000162,1,上证互联网+主题指数,2023-09-21,000162
sh.000300,1,沪深300指数,2023-09-21,000300
sh.000802,1,500沪市,2023-09-21,000802
sh.000805,1,A股资源,2023-09-21,000805
sh.000806,1,消费服务,2023-09-21,000806
sh.000807,1,食品饮料,2023-09-21,000807
sh.000808,1,医药生物,2023-09-21,000808
sh.000814,1,细分医药,2023-09-21,000814
sh.000816,1,细分地产,2023-09-21,000816
sh.000819,1,有色金属,2023-09-21,000819
sh.000821,1,沪深300红利指数,2023-09-21,000821
sh.000823,1,中证800有色,2023-09-21,000823
sh.000827,1,中证环保产业指数,2023-09-21,000827
sh.000828,1,沪深300高贝塔指数,2023-09-21,000828
sh.000832,1,中证可转换债券指数,2023-09-21,000832
sh.000833,1,中证1-7年中高收益企债指数,2023-09-21,000833
sh.000841,1,中证800制药与生物技术指数,2023-09-21,000841
sh.000842,1,中证800等权重指数,2023-09-21,000842
sh.000846,1,中证财通中国可持续发展100(ECPIESG)指数,2023-09-21,000846
